assay_index	node_id	acc	f1	pos_ratio
0	4	0.9659	0.1702	0.036
1	69	0.9783	0.3273	0.025
2	131	0.8957	0.2026	0.108
3	142	0.9613	0.5854	0.062
4	159	0.9840	0.0000	0.017
5	240	0.9400	0.1152	0.061
6	359	0.9934	0.0142	0.007
7	376	0.9516	0.3750	0.071
8	586	0.9697	0.4500	0.042
9	618	0.9776	0.4074	0.027
10	619	0.9758	0.6337	0.036
11	761	0.9870	0.0560	0.010
12	763	0.9881	0.0198	0.014
13	778	0.9966	0.0160	0.005
14	998	0.9272	0.2774	0.084
15	1184	0.9662	0.0629	0.036
16	1234	0.8893	0.6637	0.185
17	1238	0.9437	0.0377	0.057
18	1257	0.9733	0.0465	0.033
19	1284	0.9938	0.0000	0.006
20	1318	0.9590	0.7514	0.092
21	1344	0.9780	0.0438	0.017
22	1437	0.9012	0.3911	0.109
23	1440	0.9696	0.6179	0.053
24	1473	0.9738	0.6957	0.054
25	1474	0.9662	0.7349	0.069
26	1491	0.9206	0.5570	0.109
27	1493	0.9779	0.0410	0.016
28	1542	0.9519	0.5369	0.065
29	1548	0.9005	0.8060	0.247
30	1549	0.8954	0.6051	0.167
31	1556	0.9630	0.4554	0.058
32	1708	0.9900	0.0000	0.008
33	1788	0.9973	0.0000	0.004
34	1903	0.9702	0.1277	0.033
35	1971	0.9714	0.2712	0.024
36	2015	0.9621	0.7097	0.075
37	2039	0.9422	0.2530	0.056
38	2284	0.9517	0.7196	0.099
39	2441	0.9303	0.6959	0.129
40	2447	0.9382	0.1151	0.058
41	2492	0.9962	0.0155	0.005
42	2504	0.9727	0.2927	0.031
43	2545	0.9437	0.5629	0.073
44	2586	0.9881	0.0244	0.013
45	2615	0.8922	0.5778	0.150
46	2751	0.9884	0.1053	0.016
48	2896	0.9278	0.7541	0.143
49	2897	0.9635	0.6519	0.057
50	2986	0.9651	0.0465	0.032
51	3159	0.9951	0.0212	0.006
52	3214	0.8265	0.0833	0.163
53	3247	0.9758	0.5312	0.032
54	3472	0.9568	0.1795	0.054
55	3490	0.9823	0.0426	0.016
56	3504	0.9612	0.2059	0.044
57	3549	0.9755	0.7241	0.053
58	3586	0.9118	0.6150	0.129
